ACOUSTICS,,
World Rank,Institution,Score
1,University of Southampton,100
2,"University of California, San Diego",98.11
3,Katholieke Universiteit Leuven,95.06
4,University of Cambridge,92.58
5,Technical University of Denmark,89.88
6,University of Washington,89.18
7,University College London,88.14
8,Hong Kong Polytechnic University,87.7
9,King's College London,87.14
10,University of Texas at Austin,86.32
,,
,,
,,
AGRICULTURAL ECONOMICS & POLICY,,
World Rank,Institution,Score
1,"University of California, Davis",100
2,Cornell University,99.38
3,Iowa State University,97.43
4,Michigan State University,93.76
4,Purdue University,93.76
6,Wageningen University and Research Centre,88.41
7,"University of Maryland, College Park",85.75
8,Ohio State University,85.18
8,University of Illinois at Urbana–Champaign,85.18
10,North Carolina State University,83.38
10,"University of California, Berkeley",83.38
,,
,,
,,
AGRICULTURAL ENGINEERING,,
World Rank,Institution,Score
1,Harbin Institute of Technology,100
2,Zhejiang University,95.61
3,Tsinghua University,91.04
3,University of Chinese Academy of Sciences,91.04
5,South China University of Technology,89.03
6,Shandong University,88.44
7,Tongji University,87.31
8,National Taiwan University,86.54
9,Jiangnan University,84.15
10,Dalian University of Technology,83.5
,,
,,
,,
"AGRICULTURE",,
World Rank,Institution,Score
1,Wageningen University and Research Centre,100
2,University of Wisconsin–Madison,99.4
3,University of Guelph,99.3
4,Aarhus University,98.75
5,University of Illinois at Urbana–Champaign,97.06
6,Cornell University,95.5
7,Kansas State University,95.36
8,Iowa State University,94.32
9,University of Florida,92.56
10,University of Minnesota,90.66
,,
,,
,,
"AGRICULTURE, MULTIDISCIPLINARY",,
World Rank,Institution,Score
1,China Agricultural University,100
2,National Taiwan University,99.83
3,"University of California, Davis",99.55
4,Wageningen University and Research Centre,98.08
5,Jiangnan University,97.77
6,China Medical University (Taiwan),95.27
7,Nanjing Agricultural University,93.84
8,National Chung Hsing University,93.52
9,Zhejiang University,93.12
10,Technical University of Munich,92.1
,,
,,
,,
AGRONOMY,,
World Rank,Institution,Score
1,China Agricultural University,100
2,Wageningen University and Research Centre,98.23
3,Northwest A&F University,89.98
4,Nanjing Agricultural University,89.58
5,University of Western Australia,89.09
6,University of Chinese Academy of Sciences,88.33
7,"University of California, Davis",87.98
7,University of Hohenheim,87.98
9,Huazhong Agricultural University,87.54
10,University of Adelaide,86.02
,,
,,
,,
ALLERGY,,
World Rank,Institution,Score
1,Harvard University,100
2,Imperial College London,96.16
3,Karolinska Institute,93.56
4,Johns Hopkins University,92.28
5,Free University of Berlin,91.99
5,Humboldt University of Berlin,91.99
7,Medical University of Vienna,88.32
7,Utrecht University,88.32
9,Ludwig Maximilian University of Munich,87.22
10,University of Wisconsin–Madison,84.76
,,
,,
,,
ANATOMY & MORPHOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Oxford,86.32
3,University College London,84.9
4,Vanderbilt University,84.15
5,King's College London,83.37
6,University of Utah,82.97
7,McGill University,82.15
8,Pierre-and-Marie-Curie University,81.72
9,University of Queensland,80.85
10,Ghent University,79.94
10,University of Washington,79.94
,,
,,
,,
ANDROLOGY,,
World Rank,Institution,Score
1,Shanghai Jiao Tong University,100
2,Fudan University,84.63
3,Nanjing Medical University,80.33
4,Peking University,76.95
5,Sun Yat-sen University,70.75
6,Huazhong University of Science and Technology,66.91
6,Nanjing University,66.91
6,Second Military Medical University,66.91
6,Seoul National University,66.91
10,Korea University,65.48
10,Sichuan University,65.48
10,Zhejiang University,65.48
,,
,,
,,
ANESTHESIOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Toronto,89.51
3,"University of California, San Francisco",84.76
4,Stanford University,82.24
5,University of Iowa,81.16
6,University of Washington,81.07
7,Johns Hopkins University,80.99
8,University of Pennsylvania,80.54
9,Duke University,80.36
10,University of Michigan,79.72
,,
,,
,,
ANTHROPOLOGY,,
World Rank,Institution,Score
1,University College London,100
2,University of Oxford,96.07
3,University of Cambridge,94.3
4,Arizona State University,93.52
5,University of the Witwatersrand,92.34
6,Stony Brook University,91.07
7,Harvard University,88.86
8,Ohio State University,86.17
9,George Washington University,85.82
10,Australian National University,85.3
